Rk,Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1,2014,NL West,75,63,2,4.12,138,5130,4694,568,1190,219,39,117,544,49,24,374,1082,.254,.311,.392,.703,87,136,.984,28.7
2,2013,NL West,76,86,3,3.88,162,6168,5552,629,1446,280,35,107,596,67,26,469,1078,.260,.320,.381,.702,107,128,.982,28.7
3,2012,NL West,94,68,1,4.43,162,6200,5558,718,1495,287,57,103,675,118,39,483,1097,.269,.327,.397,.724,115,134,.981,27.8
4,2011,NL West,86,76,2,3.52,162,6091,5486,570,1327,282,24,121,534,85,51,448,1122,.242,.303,.368,.671,104,127,.983,30.2
5,2010,NL West,92,70,1,4.30,162,6143,5488,697,1411,284,30,162,660,55,32,487,1099,.257,.321,.408,.729,73,110,.988,29.6
6,2009,NL West,88,74,3,4.06,162,6057,5493,657,1411,275,43,122,612,78,28,392,1158,.257,.309,.389,.699,88,138,.985,29.0
7,2008,NL West,72,90,4,3.95,162,6145,5543,640,1452,311,37,94,606,108,46,452,1044,.262,.321,.382,.703,96,129,.984,29.6
8,2007,NL West,71,91,5,4.22,162,6213,5538,683,1407,267,37,131,641,119,33,532,907,.254,.322,.387,.708,88,148,.986,32.7
9,2006,NL West,76,85,3,4.63,161,6136,5472,746,1418,297,52,163,711,58,25,494,891,.259,.324,.422,.746,91,132,.985,33.6
10,2005,NL West,75,87,3,4.01,162,6077,5462,649,1427,299,26,128,617,71,35,431,901,.261,.319,.396,.714,90,146,.985,32.2
11,2004,NL West,91,71,2,5.25,162,6466,5546,850,1500,314,33,183,805,43,23,705,874,.270,.357,.438,.795,101,153,.984,31.6
12,2003,NL West,100,61,1,4.69,161,6204,5456,755,1440,281,29,180,713,53,37,593,980,.264,.338,.425,.763,80,163,.987,32.1
13,2002,NL West,95,66,2,4.83,162,6298,5497,783,1465,300,35,198,751,74,21,616,961,.267,.344,.442,.786,90,166,.985,32.1
14,2001,NL West,90,72,2,4.93,162,6408,5612,799,1493,304,40,235,775,57,42,625,1090,.266,.342,.460,.802,118,170,.981,31.5
15,2000,NL West,97,65,1,5.71,162,6418,5519,925,1535,304,44,226,889,79,39,709,1032,.278,.362,.472,.834,93,173,.985,29.9
16,1999,NL West,86,76,2,5.38,162,6449,5563,872,1507,307,18,188,828,109,56,696,1028,.271,.356,.434,.790,105,155,.983,30.2
17,1998,NL West,89,74,2,5.18,163,6484,5628,845,1540,292,26,161,800,102,51,678,1040,.274,.353,.421,.774,101,157,.984,30.7
18,1997,NL West,90,72,1,4.84,162,6296,5485,784,1415,266,37,172,746,121,49,642,1120,.258,.337,.414,.751,125,157,.980,29.5
19,1996,NL West,68,94,4,4.64,162,6316,5533,752,1400,245,21,153,707,113,53,615,1189,.253,.331,.388,.719,136,165,.978,28.9
20,1995,NL West,67,77,4,4.53,144,5603,4971,652,1256,229,33,152,610,138,46,472,1060,.253,.323,.404,.727,108,142,.981,28.8
21,1994,NL West,55,60,2,4.38,115,4364,3869,504,963,159,32,123,472,114,40,364,719,.249,.318,.402,.720,68,113,.985,28.4
22,1993,NL West,103,59,2,4.99,162,6271,5557,808,1534,269,33,168,759,120,65,516,930,.276,.340,.427,.767,101,169,.984,28.0
23,1992,NL West,72,90,5,3.54,162,6070,5456,574,1330,220,36,105,532,112,64,435,1067,.244,.302,.355,.657,113,174,.982,28.1
24,1991,NL West,75,87,4,4.01,162,6098,5463,649,1345,215,48,141,605,95,57,471,973,.246,.309,.381,.690,109,151,.982,28.4
25,1990,NL West,85,77,3,4.44,162,6216,5573,719,1459,221,35,152,681,109,56,488,973,.262,.323,.396,.718,107,148,.983,29.1
26,1989,NL West,92,70,1,4.31,162,6139,5469,699,1365,241,52,141,647,87,54,508,1071,.250,.316,.390,.706,114,135,.982,28.5
27,1988,NL West,83,79,4,4.14,162,6178,5450,670,1353,227,44,113,629,121,78,550,1023,.248,.318,.368,.686,129,145,.980,28.3
28,1987,NL West,90,72,1,4.83,162,6250,5608,783,1458,274,32,205,731,126,97,511,1094,.260,.324,.430,.754,129,183,.980,27.9
29,1986,NL West,83,79,3,4.31,162,6212,5501,698,1394,269,29,114,637,148,93,536,1087,.253,.322,.375,.697,143,149,.977,26.9
30,1985,NL West,62,100,6,3.43,162,6063,5420,556,1263,217,31,115,517,99,55,488,962,.233,.299,.348,.648,148,134,.976,27.7
31,1984,NL West,66,96,6,4.21,162,6293,5650,682,1499,229,26,112,646,126,76,528,980,.265,.328,.375,.702,173,134,.973,29.0
32,1983,NL West,79,83,5,4.24,162,6128,5369,687,1324,206,30,142,638,140,78,619,990,.247,.325,.375,.701,171,109,.973,28.0
33,1982,NL West,87,75,3,4.15,162,6227,5499,673,1393,213,30,133,631,130,56,607,915,.253,.327,.376,.703,173,125,.973,29.2
34,1981,NL West,56,55,4,3.85,111,4258,3766,427,941,161,26,63,399,89,50,386,543,.250,.320,.357,.676,102,102,.977,29.7
35,1980,NL West,75,86,5,3.56,161,6047,5368,573,1310,199,44,80,539,100,58,509,840,.244,.308,.342,.651,159,124,.975,28.2
36,1979,NL West,71,91,4,4.15,162,6133,5395,672,1328,192,36,125,616,140,73,580,925,.246,.319,.365,.684,163,138,.974,28.1
37,1978,NL West,89,73,3,3.78,162,6103,5364,613,1331,240,41,117,576,87,54,554,814,.248,.318,.374,.692,146,118,.977,27.2
38,1977,NL West,75,87,4,4.15,162,6218,5497,673,1392,227,41,134,624,90,59,568,842,.253,.323,.383,.705,179,136,.972,26.7
39,1976,NL West,74,88,4,3.67,162,6123,5452,595,1340,211,37,85,552,88,55,518,778,.246,.312,.345,.656,186,153,.971,26.2
40,1975,NL West,80,81,3,4.09,161,6186,5447,659,1412,235,45,84,606,99,47,604,775,.259,.333,.365,.698,146,164,.977,25.6
41,1974,NL West,72,90,5,3.91,162,6159,5482,634,1380,228,38,93,568,107,51,548,869,.252,.322,.358,.680,175,153,.972,25.2
42,1973,NL West,88,74,3,4.56,162,6274,5537,739,1452,212,52,161,684,112,52,590,913,.262,.335,.407,.742,163,138,.974,25.6
43,1972,NL West,69,86,5,4.27,155,5858,5245,662,1281,211,36,150,600,123,45,480,964,.244,.309,.384,.693,156,121,.974,25.5
44,1971,NL West,90,72,1,4.36,162,6259,5461,706,1348,224,36,140,653,101,36,654,1042,.247,.329,.378,.707,179,153,.972,27.3
45,1970,NL West,86,76,3,5.13,162,6469,5578,831,1460,257,35,165,773,83,27,729,1005,.262,.351,.409,.760,170,153,.973,28.0
46,1969,NL West,90,72,2,4.40,162,6375,5474,713,1325,187,28,136,657,71,32,711,1054,.242,.334,.361,.695,169,155,.974,27.9
47,1968,NL,88,74,2,3.67,163,6133,5441,599,1301,162,33,108,566,50,37,508,904,.239,.307,.341,.648,162,125,.975,27.9
48,1967,NL,91,71,2,4.02,162,6205,5524,652,1354,201,39,140,604,22,30,520,978,.245,.313,.372,.685,134,149,.979,27.2
49,1966,NL,93,68,2,4.19,161,6084,5539,675,1373,195,31,181,627,29,30,414,860,.248,.303,.392,.695,168,131,.974,26.7
50,1965,NL,95,67,2,4.18,163,6119,5495,682,1384,169,43,159,623,47,27,476,844,.252,.313,.385,.698,148,124,.976,26.7
51,1964,NL,90,72,4,4.05,162,6195,5535,656,1360,185,38,165,608,64,35,505,900,.246,.310,.382,.693,159,136,.975,27.4
52,1963,NL,88,74,3,4.48,162,6178,5579,725,1442,206,35,197,680,55,49,441,889,.258,.316,.414,.730,156,113,.975,28.2
53,1962,NL,103,62,1,5.32,165,6279,5588,878,1552,235,32,204,807,73,50,523,822,.278,.341,.441,.782,142,153,.977,27.5
54,1961,NL,85,69,3,4.99,155,5889,5233,773,1379,219,32,183,709,79,54,506,764,.264,.329,.423,.752,133,126,.977,26.8
55,1960,NL,79,75,5,4.30,156,5923,5324,671,1357,220,62,130,622,86,45,467,846,.255,.317,.393,.709,166,117,.972,26.8
56,1959,NL,83,71,3,4.58,154,5891,5281,705,1377,239,35,167,660,81,34,473,875,.261,.322,.414,.736,152,118,.974,26.2
57,1958,NL,80,74,3,4.72,154,5996,5318,727,1399,250,42,170,682,64,29,531,817,.263,.331,.422,.753,152,156,.975,26.8
58,1957,NL,69,85,6,4.18,154,5891,5346,643,1349,171,54,157,612,64,38,447,669,.252,.311,.393,.703,161,180,.974,29.4
59,1956,NL,67,87,6,3.51,154,5708,5190,540,1268,192,45,145,497,67,34,402,659,.244,.299,.382,.682,144,143,.976,27.5
